run_dir,horizon,NSE_median_well,RMSE_median_well
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,4,0.9127771672350883,0.0515696803627362
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,5,0.8952733510675883,0.05750314554262206
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,6,0.8797734293503322,0.062065843426412734
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,7,0.8638835593355085,0.0656545905522915
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,8,0.8505030131040294,0.06929668888955988
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,9,0.8355285721840976,0.07253447300470015
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,10,0.8219428921917346,0.07557732925223339
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,11,0.8096289967725854,0.07907582627360643
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,12,0.7991366410871756,0.08183510588923615
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,13,0.7904121003211634,0.0845366397278802
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,14,0.780856401472646,0.0869346813485346
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,15,0.7741162710956349,0.08916460798236925
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,16,0.7618427168939582,0.09141914176137032
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,1,0.9684858172342986,0.0296751814198287
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,2,0.9442242110386773,0.040585761489032444
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,3,0.9239933783111911,0.047804377650889004
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,4,0.9070848959210245,0.05374948548734412
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,5,0.8907955306582751,0.05869611951821702
