id,x_25833,y_25833,d_k1_mean_m,d_k3_mean_m,d_k5_mean_m,d_k10_mean_m,rmse
LFU_31454608,385607.0,5855129.0,4696.73343931716,5365.922115103372,5962.659539899414,6911.082690992017,0.9241865708800938
LFU_31464607,393506.0,5851886.0,0.0,1773.761978269789,2809.5277791624067,5097.5907447820955,1.8408676474066654
LFU_31464705,398635.0,5860515.0,0.0,1884.8949278113325,3106.041004524064,4564.9099962188175,1.042994745052202
LFU_31471807,405148.0,5854021.0,0.0,732.5778719597505,1359.531853490466,2710.7098241013255,0.17367983279064092
LFU_31481914,414243.0,5857401.0,0.0,430.83930117521095,1180.968798362353,2616.7008848445876,0.607216935158793
LFU_31481925,412631.0,5860974.0,3219.4822565126833,3782.2899345641817,4317.762981480763,5451.252014855335,1.10595564895669
LFU_31481929,420475.0,5854395.0,172.19175357722565,199.17019610224426,307.52775290584066,1463.8658896657284,8.819406922294405
LFU_31481963,415860.0,5851415.0,0.0,1309.4907008981293,2207.1663469524915,3313.8650645345783,4.397998440311506
LFU_31481995,413216.0,5852891.0,0.0,1319.2173437389683,1849.4892025544018,3138.904153792898,1.0571854043589806
LFU_31490600,424012.0,5857518.0,726.1129388738366,2145.2888430135986,2746.5091226368195,3748.6173126975036,4.194799473154466
LFU_31491982,424725.0,5860010.0,2.0,1931.4481109689077,2716.3168864636255,4273.614456701795,2.6030171314661197
LFU_31500622,442308.0,5858801.0,489.31789258109086,1915.9656822369252,2691.0596725475316,4008.807761085341,0.7243338574496746
LFU_31502019,440139.52,5854837.61,527.1230809779127,639.4691918510108,1112.3210783721036,2205.956616721029,0.17218341551657387
LFU_31502053,434926.0,5856178.0,734.6053362180267,1461.4000749944398,2374.212640976331,3879.4594091876615,0.07406348443866588
LFU_31502059,437789.0,5850939.0,1241.1982114070258,1935.9652186092528,2541.0698202299054,3163.1235965926435,1.4620242174371256
LFU_32417780,331125.0,5841705.0,4432.28394848525,4432.28394848525,6624.3652519202315,9058.91559979883,1.2620668067286378
LFU_32445001,374335.0,5841045.0,2227.0574756840024,4219.210463940394,5174.051331753996,6388.747493044486,0.41353870616789606
LFU_32445310,373367.0,5849327.0,3212.7877303052564,3496.1773377145,4333.033074857211,5955.758370206155,0.4165511918387326
LFU_32449210,372471.0,5846059.0,2.23606797749979,3764.2256011320374,4593.803111654088,5749.165827044502,3.696890589806379
LFU_32455003,381486.0,5840339.0,0.0,1154.9933679951787,2047.8086561537311,3797.5643602313417,0.27035204020123843
LFU_32455414,383986.0,5844544.0,1391.9285182795848,2270.856843822097,3162.8783075779916,4582.9345052068165,0.9243912912586876
LFU_32471947,409660.0,5843588.0,2.23606797749979,2474.2984685751017,3055.1325975863747,5392.544198058849,4.4524516313619875
LFU_32471950,406516.0,5848202.0,2265.647810230001,3131.7531073564046,3404.1910711749833,4888.370014317805,3.0957939340137792
LFU_32481966,415662.0,5847762.0,3.605551275463989,2737.8499196569373,4017.522736373486,5560.032489194352,5.223672798390723
LFU_32492085,425081.0,5847239.0,5448.42334992427,6499.243066539765,7167.1711590371515,7910.422781039977,15.228208915057618
LFU_32502107,441872.0,5841237.0,393.57337308308854,625.1406627915519,1141.5811134921018,2223.8052550158673,0.24733370009580755
LFU_32502110,441631.0,5841569.0,689.4613839802778,873.4366952339113,1333.3110400278656,2292.040612734504,0.42240124526779244
LFU_32502126,436228.0,5847777.0,602.6342174155066,764.805767291833,1067.3924399201283,2152.924688750392,0.5061117314128337
LFU_32502128,438092.0,5848844.0,1629.4569647585051,1767.2406209911194,1999.57742883243,2771.3316609948406,0.18709751753237008
LFU_32502137,439174.0,5845156.0,2278.701823407354,2530.1419713525497,2995.9374165038926,3920.7661098183657,4.071747909917985
LFU_32510955,443971.0,5848179.0,1555.0086816477906,2155.7843583025037,2691.2952215241944,3482.228686195339,0.5322072323570289
LFU_32520960,454967.0,5842040.0,2626.266170821229,2873.6430382448475,3148.897745674328,3997.6747029656144,0.22836403078698808
LFU_32522181,457044.0,5840258.0,1268.4892589218089,1602.3227474029288,2439.0920651888678,3746.3332020869902,0.31666784533381964
LFU_33427310,346858.0,5836374.0,6712.944584904601,6982.188600534127,7501.21972220644,9645.240573402876,1.3221355517343605
LFU_33427350,346748.0,5840185.0,9808.783512750193,10152.611736701414,10572.43224418884,11060.111083207294,2.28504475812814
LFU_33427351,346751.0,5840184.0,9805.62491634266,10150.349282448678,10570.903122927199,11060.091081630873,2.250902879907229
LFU_33427520,343711.0,5833182.0,4122.971016148428,4964.045978907395,5793.196397688303,8000.884989017793,0.5913313606294867
LFU_33437106,358432.0,5833784.0,2825.611438255444,3761.347559331233,4216.666897828011,6299.211250513683,0.12197550846590051
LFU_33442484,375389.0,5836036.0,2963.2148082783333,3697.010964169487,4166.980715859698,5731.892006206183,0.3184997886412537
LFU_33447300,366950.0,5839870.0,4242.917039019264,4242.917039019264,4606.2250093750545,6386.01206000252,2.810847690886935
LFU_33452454,376116.0,5833876.0,1907.2432985856838,2630.428469568783,3509.487500889135,5477.099903486068,0.46398856761946816
LFU_33455426,379129.0,5839356.0,0.0,1279.4030640876606,1886.6089647177937,4022.337095575779,0.10093582670136958
LFU_33470881,404260.0,5837390.0,4651.3653909363,4690.57119582041,5469.581472388229,7479.218427164416,1.3379010659088082
LFU_33470916,401437.0,5834795.6,935.0960164600963,4348.768381974576,5782.076146647323,7691.147996623852,0.9367657945355466
LFU_33470920,399863.69,5834069.92,877.1191153429573,3933.9822959687676,5430.623019309497,7573.534534507239,0.14304443405144018
LFU_33502240,442982.0,5836689.0,1026.67472940557,1722.5687200787415,2453.926462648267,3457.494985640569,1.4450754529838037
LFU_33502241,436809.0,5833855.0,3021.4182100464013,4257.091203105935,5047.5905077903935,5959.087968190968,9.332906220042064
LFU_33512278,444112.0,5834868.0,1564.113167261244,2066.739042641822,2580.1203866430888,3733.0911163320948,0.5756374887392728
LFU_33512289,444321.0,5832309.0,1133.1765087575723,1913.3756637847753,2605.458458792433,3585.419424970018,1.5040005512464394
LFU_33520964,458046.0,5838730.0,1874.1944936425355,2104.841681291204,2534.8443373149144,3589.5214480207514,0.6225589528886942
LFU_33522333,462520.0,5834120.0,1383.51002887583,1636.998318078551,1789.2316221246715,3048.808378292144,0.4029085811073424
LFU_33522342,454992.0,5831778.0,2179.249870941834,2589.6861331716195,2962.6836842923813,4012.841824884797,0.4660277949542944
LFU_33532380,467240.0,5829476.0,829.9114410586228,2155.8307629892056,2864.7349325637833,3851.98883105232,0.2955362776209517
LFU_33532381,466565.0,5828197.0,2200.825526933019,2590.394191129277,2789.3236117668225,3544.9126336832132,0.4254203423136027
LFU_34396780,318534.0,5824066.0,5099.79960390602,5099.79960390602,6536.895389115869,8313.46988784816,0.8497919279379208
LFU_34402050,321351.0,5829207.0,4077.037404783037,5727.116109062041,6435.279876415434,7999.915579229678,0.6447132616921285
