log,run,valid_pairs,skipped,RMSE,nRMSE,NSE_pooled,NSE,NSE_id_median,NSE_id_p25,NSE_id_p50,NSE_id_p75,NSE_id_mean,NSE_id_count,NSE_hw,RMSE_hw,nRMSE_hw,MAE,AbsErr_P95,AbsErr_P99,AbsErr_Max,nRMSE_pw,RMSE_pw,NSE_pw,n_dates,n_train_wells,n_holdout_wells,dkl_latent_dims,dkl_train_steps,gp_ls,gp_os,gp_noise,dkl_best_mll,y_mean,y_std
gw-ms-km-ss43.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__multiseed_km_gps1__predobstrain,852.0,76.0,4.1382,0.1517,0.9605,0.9605,-48.4463,-281.2029,-48.4463,-5.7799,-863.9942,48.0,,,,2.5913,10.4325,14.8783,16.0889,5.6558,1.3514,-48.4463,,,,,,,,,,,
gw-ms-km-ss43.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__multiseed_km_gps2__predobstrain,852.0,76.0,4.1281,0.1513,0.9607,0.9607,-47.9556,-263.3019,-47.9556,-5.867,-846.1467,48.0,,,,2.5949,10.6422,14.0209,16.2964,5.8355,1.3268,-47.9556,,,,,,,,,,,
gw-ms-km-ss43.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__multiseed_km_gps3__predobstrain,852.0,76.0,4.1481,0.1521,0.9603,0.9603,-49.3388,-240.6231,-49.3388,-5.5396,-850.6639,48.0,,,,2.6119,10.647,14.1991,16.151,5.7277,1.3295,-49.3388,,,,,,,,,,,
gw-dec-km-ss44.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,4.4823,0.2049,0.9661,0.9661,-29.2119,-852.5942,-29.2119,-1.6537,-1283.6375,47.0,-28.2288,0.9544,3.9481,2.6489,12.8831,15.2411,18.2686,3.8612,1.01,-29.2119,,,,,,,,,,,
gw-ms-km-ss44.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__multiseed_km_gps1__predobstrain,852.0,76.0,3.8163,0.1745,0.9754,0.9754,-108.016,-663.5449,-108.016,-13.5654,-1027.008,47.0,,,,2.6915,7.7929,12.981,14.2285,8.2058,1.5987,-108.016,,,,,,,,,,,
gw-ms-km-ss44.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__multiseed_km_gps2__predobstrain,852.0,76.0,3.8389,0.1755,0.9751,0.9751,-110.2312,-674.9308,-110.2312,-13.8873,-1041.2472,47.0,,,,2.7164,7.6453,12.9637,14.2829,8.143,1.6158,-110.2312,,,,,,,,,,,
gw-ms-km-ss44.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__multiseed_km_gps3__predobstrain,852.0,76.0,3.9375,0.18,0.9739,0.9739,-111.0046,-751.0714,-111.0046,-13.5592,-1096.44,47.0,,,,2.7769,7.7972,13.3514,13.9202,8.4377,1.612,-111.0046,,,,,,,,,,,
gw-dec-km-ss45.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,3.3737,0.097,0.9844,0.9844,-14.7298,-122.3579,-14.7298,-4.2631,-558.8038,48.0,-13.3895,0.7664,3.0638,1.7663,7.1937,16.6368,17.7991,3.5062,0.846,-14.7298,,,,,,,,,,,
gw-ms-km-ss45.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__multiseed_km_gps1__predobstrain,852.0,76.0,4.1858,0.1204,0.976,0.976,-32.9816,-174.2908,-32.9816,-4.8267,-838.0515,48.0,,,,2.1738,12.4078,17.3227,19.2051,4.6894,1.1125,-32.9816,,,,,,,,,,,
gw-ms-km-ss45.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__multiseed_km_gps2__predobstrain,852.0,76.0,4.2704,0.1228,0.975,0.975,-38.0919,-200.6213,-38.0919,-5.3315,-913.007,48.0,,,,2.2485,13.0918,17.5396,19.4828,4.5177,1.3116,-38.0919,,,,,,,,,,,
