split,frac,ss,tag,NSE_hw,run
md40,95,51,multiseed_md40_gps2,-27.150368705748384,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss51__multiseed_md40_gps2__predobstrain
md40,95,51,multiseed_md40_gps3,-26.076072198778846,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss51__multiseed_md40_gps3__predobstrain
md50,95,42,coloc_md50_f95,-16.25981802208686,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__coloc_md50_f95__predobstrain
md50,95,42,coloc_pilot,-17.824087780896278,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__coloc_pilot__predobstrain
md50,95,42,gp_var_0,-16.840183793213203,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_0__predobstrain
md50,95,42,gp_var_1,-16.656588402518356,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_1__predobstrain
md50,95,42,gp_var_2,-17.327792275641517,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_2__predobstrain
md50,95,42,gp_var_3,-17.652244803559483,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_3__predobstrain
md50,95,42,gp_var_4,-16.790957749990874,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_4__predobstrain
md50,95,42,gp_var_5,-16.884616582799243,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_5__predobstrain
md50,95,42,gp_var_6,-16.642708451876658,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_6__predobstrain
md50,95,42,gp_var_7,-17.663042533229206,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_7__predobstrain
md50,95,42,gp_var_8,-16.232309939006793,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_8__predobstrain
md50,95,42,gp_var_9,-17.178885994844347,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__gp_var_9__predobstrain
