split,feat,nRMSE_iqr,rmse_pw
rand,pr52xcorr_only,3.776258768965026,1.7568018225625657
rand,pr52xcorr_only,3.570641116044932,1.2987371671908265
rand,best_fok_fuk,3.3287219985498924,1.3851997716162774
rand,best_fok_fuk,3.471794108346878,1.4186708742562464
rand,best_fok_fuk,3.62851979331169,1.5290566528581424
rand,best_fok_fuk,3.569425495643662,1.21243476829556
rand,best_fok_fuk,3.0720705594561,1.1692785131825207
rand,best_fok_fuk,3.4873586356143704,1.4102551367033769
rand,best_fok_fuk,3.437973661699661,1.385098107475966
rand,best_fok_fuk,4.848174476124479,1.7948513248973246
rand,best_fok_fuk,4.009575136454148,1.5315690919095943
rand,best_fok_fuk,3.5114827842732317,1.4675251193561896
rand,acf_class_only,3.8366237956277622,1.2716991288158774
rand,acf_class_only,3.6023194253564617,1.3904518224232916
rand,acf_class_only,3.388113775473786,1.284154148001956
rand,acf_class_only,3.343315394625288,1.3304203211746906
rand,acf_class_only,3.586390671399891,1.2105536254876914
rand,acf_class_only,4.409855318066675,1.6260590910962074
rand,acf_class_only,2.9179454445804796,0.976373163238983
rand,acf_class_only,3.617474450444838,1.2811539048479104
rand,acf_class_only,4.721949755956919,1.618935831471275
rand,acf_class_only,3.2684438083522576,1.3348542647078148
rand,siwa_acf_class,4.360009719810641,1.2389248041869798
rand,siwa_acf_class,5.082943429959698,2.0166287846180673
rand,siwa_acf_class,4.471837466253621,1.6429108721001833
rand,siwa_acf_class,3.925909463721182,1.7416248850416962
rand,siwa_acf_class,3.4937783462417276,1.400048633862017
rand,siwa_acf_class,4.180444973774159,1.756218211673241
rand,siwa_acf_class,3.6624207386864174,1.4594043930877088
rand,siwa_acf_class,3.993389003100387,1.4749989646710813
rand,siwa_acf_class,5.755925993308862,1.9618441767809358
rand,siwa_acf_class,3.850773119374489,1.5514445646760369
rand,best_acf_class,4.128045703495427,1.666456726852524
rand,best_acf_class,4.731414258827902,1.565981869110198
rand,best_acf_class,4.239284522811069,1.7172761808898585
rand,best_acf_class,3.532455717714946,1.5825209296756133
rand,best_acf_class,2.9670534312974532,1.1484486019612645
rand,best_acf_class,4.691488157366059,1.83380671210913
rand,best_acf_class,3.6374801097858387,1.5386762387082205
rand,best_acf_class,4.323695657019703,2.0084892118635596
rand,best_acf_class,3.5182356077864543,1.7530735050310198
rand,best_acf_class,4.200742013256571,1.6173440469679197
rand,gwlk_cont_only,2.6539131828862987,0.9957421826385087
rand,gwlk_cont_only,2.93854223220997,1.2819108927469682
rand,gwlk_cont_only,3.6547786184896114,1.5658795247535773
rand,gwlk_cont_only,3.0688454627579516,1.1666501426625624
rand,gwlk_cont_only,2.6772126676703296,1.1638298410175076
rand,gwlk_cont_only,3.7906917227125865,1.4544571731757485
rand,gwlk_cont_only,3.174488399530647,1.3398681251352578
rand,gwlk_cont_only,3.5915176630142644,1.3155398149862398
rand,gwlk_cont_only,3.571442967506215,1.252094992260592
rand,gwlk_cont_only,2.897636925104262,1.026681851006216
rand,best_gwlk_cont,3.4613774909639625,1.562804964507147
rand,best_gwlk_cont,3.982118805264216,1.845924032879603
rand,best_gwlk_cont,3.9666691517712316,1.6221757626274131
rand,best_gwlk_cont,3.997602807992454,1.5756273285565334
rand,best_gwlk_cont,3.639424912696339,1.2326547913882147
rand,best_gwlk_cont,3.545318317018312,1.246894972037894
rand,best_gwlk_cont,3.0028887769782124,1.1340180423517507
rand,best_gwlk_cont,5.796954364662006,2.3907628177354576
rand,best_gwlk_cont,4.408582343199091,1.848244182830029
rand,best_gwlk_cont,3.518026728315822,1.4892649461102838
