trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,horizon,NSE,RMSE,MAE,rMBE,metrics_found
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,6.0,,0.18791816569609648,0.0664516985873562,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,7.0,,0.1946715010356486,0.07103604256558202,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,8.0,,0.2012922682395337,0.075387280945346,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,9.0,,0.2077010565046788,0.0794320419612442,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,10.0,,0.21391426173874065,0.08326294554971576,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,11.0,,0.21994587207061625,0.08695446553427921,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,12.0,,0.22576606655708192,0.09043718261037897,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,13.0,,0.23134725894664843,0.09381473895015975,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,14.0,,0.23670853181314752,0.09711626488580509,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,15.0,,0.24184089697179578,0.10036849081643592,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,16.0,,0.2467344039296694,0.1036490781231171,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,1.0,,0.11552111677333332,0.031363341828488905,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,2.0,,0.13325002923017779,0.04326834974289198,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,3.0,,0.1484465387381483,0.053199141580694706,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,4.0,,0.16213031221677124,0.06176904316922209,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,5.0,,0.17411589652660064,0.06928841914982198,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,6.0,,0.184739404166771,0.07600990655480401,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,7.0,,0.19483216265634576,0.08230040109595506,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,8.0,,0.2043864348498374,0.08820248123518816,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,9.0,,0.21329069004295495,0.09360835382023976,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,10.0,,0.22159139744798237,0.09869657675060259,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,11.0,,0.2293003956135626,0.10343183835737604,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,12.0,,0.23647347334691293,0.10773524771384724,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,13.0,,0.24308796439973349,0.11173699502220355,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,14.0,,0.249333903748614,0.11555209254896782,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,15.0,,0.25526915671391487,0.11916031325282415,,True
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,16.0,,0.2610403877080315,0.12265965227946618,,True
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,1.0,,0.12521730433988193,0.028908738112621277,,True
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,2.0,,0.13773767562767367,0.03925642292695202,,True
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,3.0,,0.14707870890790659,0.04732793590079026,,True
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,4.0,,0.15574032733880025,0.054533044767895146,,True
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,5.0,,0.16340860461617002,0.06094119253913836,,True
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,6.0,,0.1701707918541675,0.06667367143686784,,True
