run_number,objective,elapsed_s,model_prefix,RMSE_pooled,nRMSE,NSE_pooled,NSE_id_median,MAE_pooled,backend,n_inducing,pretrain_steps,jitter,max_pretrain_pts,variational_lr,hpo_name,trial,gru_run_sig,gp_run_tag,split,dir_name
43,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t006,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t006__predobstrain
44,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t005,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t005__predobstrain
45,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t003,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t003__predobstrain
46,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t002,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t002__predobstrain
47,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t001,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t001__predobstrain
48,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,cmp_gru_custom,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__cmp_gru_custom__predobstrain
49,6.396237219309703,,GRU_FCOV,6.396237219309703,0.2146388328627417,0.9391542754335652,-110.79082031582361,3.490582011591836,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r0_s0_spf0p9_sc20_ss42,gp_pytorch_matern32,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r0_s0_spf0p9_sc20_ss42__gp_pytorch_matern32__predobstrain
50,0.2847362216470516,37.176,GRU_FCOV,6.133218214277491,0.2847362216470516,0.9286072588409038,-76.56149521241585,3.4698416013778814,gpytorch,64.0,100.0,0.0001,512.0,0.1,gp_gpytorch_hpo_v3,12.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t012,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t012__predobstrain
51,0.3231631169596076,43.472,GRU_FCOV,6.960933539309947,0.3231631169596076,0.9080371973612366,-138.8422884322163,4.019366642591341,gpytorch,64.0,200.0,0.0001,128.0,0.1,gp_gpytorch_hpo_v3,5.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t005,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t005__predobstrain
52,0.336087682855446,43.535,GRU_FCOV,7.239328688706307,0.336087682855446,0.900534192080353,-158.18933312757068,4.295726117433829,gpytorch,128.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v1,2.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t002,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t002__predobstrain
