trial,run_sig,objective,train_s,trained_epochs,NSE_weighted_mean_h1_16,NSE_mean_h1_16,RMSE_mean_h1_16,RMSE_weighted_mean_h1_16,NSE_h16_plotstyle,RMSE_h16_plotstyle,MAE_h16_plotstyle,status,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,hpo_name,hp.model.use_revin,hp.training.lr_scheduler.enabled
9.0,gru_small_refine_v4_t009_seed40_full_merged,0.228454848089898,1035.803,17.0,0.8195993071719322,0.8341730600769698,0.0710723395208245,0.07473203695359729,0.7304455500111879,0.0950536848639874,0.07499420694458536,ok,223.877,1259.684,,0.2,160.0,4.0,0.000375,gru_small_refine_v4,,
6.0,gru_small_grid_v2_t006_seed40_full_merged,0.2331020323876192,519.448,11.0,0.8181089945219325,0.8330592841635669,0.07084849337851082,0.07471064717353419,0.725318486170466,0.09481165282282804,0.07540578140324844,ok,227.938,747.389,,0.2,224.0,3.0,0.0005,gru_small_grid_v2,,
6.0,gru_small_grid_v1_t006_seed40_full_merged,0.2460797094768265,1844.533,50.0,0.8165397294353225,0.8329579168841913,0.06862322586664427,0.07250258509637651,0.7117635827433375,0.09406520340389558,0.07546042570304044,ok,227.675,2072.211,,0.1,128.0,2.0,0.0001,gru_small_grid_v1,,
11.0,gru_small_grid_v1_t011_seed40_full_merged,0.2188875408310781,1295.689,13.0,0.8146952590361671,0.829274651294502,0.07086774731332586,0.07471971710173635,0.7254338831467964,0.09614335011034,0.07557716204490496,ok,238.824,1534.516,,0.3,192.0,2.0,0.001,gru_small_grid_v1,,
,gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,,,37.0,0.8144787888080254,0.8297972082649534,0.07167242232727003,0.07551938526015615,0.7205995679049069,0.09599348420300785,0.07666811592135078,,,,,,,,,,,
12.0,gru_small_grid_v3_t012_seed40_full_merged,0.2469173144465141,3997.258,19.0,0.8134626777150177,0.8294671728457025,0.07160734244991755,0.07558384503675615,0.7076593910228837,0.09719721911200034,0.07847621636989313,ok,287.424,4284.685,,0.2,192.0,5.0,0.00035,gru_small_grid_v3,,
4.0,gru_small_grid_v2_t004_seed40_full_merged,0.231139509458691,530.461,13.0,0.812738918775966,0.8289305912267728,0.07034777206808279,0.07437192305907436,0.708733147165213,0.09733157748463753,0.07890077070756392,ok,264.335,794.8,,0.2,256.0,2.0,0.0005,gru_small_grid_v2,,
11.0,gru_small_grid_v2_t011_seed40_full_merged,0.2364536459420272,795.993,14.0,0.8100081785673456,0.8256883940260851,0.07251058384062602,0.07648008770735842,0.7116141092922101,0.09820876193772317,0.07801815544888055,ok,227.525,1023.522,,0.2,256.0,3.0,0.0005,gru_small_grid_v2,,
9.0,gru_small_grid_v2_t009_seed40_full_merged,0.2575511951616764,840.4,16.0,0.8072272754386107,0.8231551871617822,0.07277017514642292,0.07680911125371558,0.7071744172542747,0.09986376426910415,0.07733584482432444,ok,230.52,1070.923,,0.2,224.0,4.0,0.0004,gru_small_grid_v2,,
9.0,gru_small_grid_v1_t009_seed40_full_merged,0.2610403877080315,1804.257,50.0,0.8055786652866432,0.8221720648517161,0.07270223311047197,0.0768424211486964,0.7031200058275748,0.10019506879717449,0.07937816933636026,ok,226.627,2030.887,,0.3,128.0,1.0,0.0001,gru_small_grid_v1,,
7.0,gru_small_grid_v1_t007_seed40_full_merged,0.2628401879270396,1361.004,10.0,0.7933360355346252,0.8096093476469459,0.07353455501570025,0.07737801318375295,0.6940776748278998,0.09802350761178091,0.07832774042567134,ok,275.785,1636.792,,0.2,192.0,3.0,0.001,gru_small_grid_v1,,
,in52_out16_ep5_bs4096_seed40_full_merged_spf0p5_sc20_ss42,,,5.0,-0.03436548125591051,0.056148835538072,0.1866940106423816,0.19679008482500604,-0.916134244353406,0.2752698851367993,0.22759949533562912,,,,,,,,,,,
,in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42,,,5.0,-0.13310540165147883,-0.04488898592201834,0.19139729887820064,0.20010575786227877,-0.8611400768476767,0.2676281647824758,0.21487622055710787,,,,,,,,,,,
,in52_out16_ep2_bs4096_seed40_full_merged_spf0p5_sc20_ss42,,,2.0,-0.44557956951853317,-0.3830594641397278,0.2357414986015599,0.2421054506880996,-1.1159732101929012,0.29663320279000605,0.23513076636209443,,,,,,,,,,,
,in52_out16_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,,,1.0,-2.2385667004638337,-2.133775907818345,0.3387648115605628,0.3492445500862475,-3.5628008535097537,0.45152238971660874,0.3612571789317154,,,,,,,,,,,
,in52_out16_ep50_bs4096_stat1_seed40_full_merged_spf0p8_sc20_ss42,,,,-8.165041947753577,-8.653921723206633,0.5628922510508281,0.555872115165159,-8.705027558676996,0.6525854399507108,0.5337905632822137,,,,,,,,,,,
,in26_out4_ep1_bs128_seed40_sample_spf0p8_sc5_ss42,,,,,-192.05824742876152,3.130093665632373,,,,,,,,,,,,,,,
,in26_out4_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,,,1.0,,-0.6122242516921843,0.220792250075727,,,,,,,,,,,,,,,
,in26_out4_ep1_bs4096_seed40_sample_spf0p5_sc5_ss42,,,1.0,,-2909.789038132929,13.36588331118324,,,,,,,,,,,,,,,
