id,is_outlier,mae,rmse,bias,n_obs_full,gws_iqr_full
LFU_27511011,False,2.2651165926836367,2.2667552474319237,-2.2651165926836367,1598,0.4400000000000013
LFU_31491982,False,2.2630391829265073,2.263915246995883,2.2630391829265073,1493,0.28000000000000114
LFU_32502100,False,2.0542176060839017,2.056289687847158,2.0542176060839017,1170,0.17999999999999972
LFU_28438064,False,2.0300946259259214,2.033398923147314,2.0300946259259214,2379,0.14999999999999858
LFU_27400058,False,1.988115349565108,1.9997320331798198,1.988115349565108,2536,0.4099999999999966
LFU_35432326,False,1.9508025628316892,1.952381484370246,1.9508025628316892,1827,0.4800000000000004
LFU_28370014,False,1.9074646186730617,1.9089432419694394,1.9074646186730617,1223,0.21999999999999886
LFU_40525029,False,1.8672376582238277,1.8712558386337126,-1.8672376582238277,1330,1.0
LFU_35442253,False,1.8775645690203193,1.8793486426374937,1.8775645690203193,2671,0.46000000000000085
LFU_34515031,False,1.8278755392698642,1.8288422589823234,1.8278755392698642,1003,0.35999999999999943
LFU_32417780,False,1.7697281216335172,1.7965338568753448,1.7697281216335172,1154,0.41999999999999815
LFU_40546013,False,1.754710837772287,1.7594550345935902,-1.754710837772287,1979,0.39000000000000057
LFU_30473068,False,1.6644076731043949,1.669133778252264,1.6644076731043949,2140,0.6824999999999974
LFU_38471711,False,1.705706256068136,1.7109877934407534,-1.705706256068136,1277,0.5600000000000023
LFU_30429033,False,1.6603063806988594,1.6610969111074345,-1.6603063806988594,2358,0.75
LFU_28410213,False,1.634451264453959,1.6403720426003179,-1.634451264453959,2536,0.7224999999999966
LFU_28438066,False,1.5915435113655259,1.5930970599037049,-1.5915435113655259,2345,0.5200000000000031
LFU_37465064,False,1.5746452865185951,1.592959672527431,-1.5746452865185951,1200,0.3999999999999986
LFU_38500184,False,1.519758128748762,1.5331341390817526,1.519758128748762,2361,0.5599999999999952
LFU_33512278,False,1.4943013728432133,1.4958314615980874,-1.4943013728432133,2777,0.2999999999999998
LFU_29391202,False,1.4882684851882226,1.4891014437203327,1.4882684851882226,1179,0.3100000000000023
LFU_39441161,False,1.4557912199698342,1.4578555400176436,-1.4557912199698342,2614,0.29999999999999716
LFU_36459946,False,1.396161361375514,1.4170732924004312,-1.396161361375514,1484,0.36999999999999744
LFU_31502059,False,1.422193818219148,1.425133486642051,-1.422193818219148,1754,0.20000000000000018
